# Valid categories: Solar PCU - Sine Wave | Solar PCU - MPPT | Grid Tie Inverter - 1 Phase | Grid Tie Inverter - 3 Phase | Hybrid Inverter | Home UPS / Inverter | Solar Battery - Lead Acid | Solar Battery - Lithium | Home Battery - Lead Acid | Rack / Wall Battery | Solar Panel / PV Module | Solar Charge Controller | GTI Accessory | Inverter Accessory | Solar BOS Kit | Solar Combo / SPGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,sku,brand,category,type,description,distributorPrice,logisticsCost,unitPrice,targetMarginPct,gstRate,hsnCode,mrp,minMarginPct,minStockLevel,unit,packSize,warrantyPeriod,lifecycleStatus,priceListVersion,productFamily,modelSeries,almm,dcrCompliant,applicableRegions,gridType,customerTierPrice,specs,supplierSku
Waaree 3kW 1-Phase On-Grid Inverter,WAR-INV-3KW-1PH,Waaree,Grid Tie Inverter - 1 Phase,product,3kW single-phase grid-tie solar inverter,17000,,18857.14,15,5,85044090,,8,3,Nos,,5 years,active,PL-2026-Q2,Waaree GTI,3KW-1PH,,,Assam,on_grid,,"{""capacity"":""3kW"",""phase"":""1-phase""}",
WEBSOLE 535 wp BIFACIAL Panel,WEBSL-535WP-BI,Websole,Solar Panel / PV Module,product,Websole 535WP BIFICIAL Panel,11074.5,,11405,15,5,85414300,,2,3,Nos,,25 years,active,PL-2026-Q2,Websole Bifacial,WEBSL-535WP-BI,TRUE,,Assam,on_grid,,"{""wattage"":""535Wp"",""type"":""Bifacial""}",
ACDB1-3KW 1PH,ITFI-ACDB1-3KW 1PH,Others,GTI Accessory,product,AC Distribution Box for 3kW one-phase systems,720.34,,805.08,10,18,85371000,,2,5,Nos,,1 year,active,PL-2026-Q2,,1-3KW-1PH,,,Assam,on_grid,,"{""capacity"":""1-3kW"",""phase"":""1-phase""}",
ACDB 5kW 3-Phase,OTH-ACDB-5KW-3PH,Others,GTI Accessory,product,AC Distribution Box for 5kW three-phase systems,1600,,1700,10,18,85371000,,2,5,Nos,,1 year,active,PL-2026-Q2,,5KW-3PH,,,Assam,on_grid,,"{""capacity"":""5kW"",""phase"":""3-phase""}",
DCDB SWIFT 1IN 1OUT 1-3KW 1PH,ITFI-DADB-1IN-1OUT-1-3KW-1PH,Others,GTI Accessory,product,DC Distribution Box 1 input 1 output for 1-3kW 1-phase,720.34,,805.08,10,18,85371000,,2,5,Nos,,1 year,active,PL-2026-Q2,,1-3KW-1PH,,,Assam,on_grid,,"{""capacity"":""1-3kW"",""phase"":""1-phase""}",
DCDB Swift 1IN 1OUT 5kW 3-Phase,SWF-DCDB-5KW-3PH,Swift,GTI Accessory,product,DC Distribution Box 1 input 1 output for 5kW 3-phase,1600,,1700,10,18,85371000,,2,5,Nos,,1 year,active,PL-2026-Q2,Swift DCDB,5KW-3PH,,,Assam,on_grid,,"{""capacity"":""5kW"",""phase"":""3-phase"",""inputs"":""1"",""outputs"":""1""}",
"EARTHING Nut 1"" + BOLT + WASHER",ITFI-E-N1-B-W,Others,GTI Accessory,product,"EARTHING Nut 1"" + BOLT + WASHER",2.97,,4.24,15,18,73181600,,8,100,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,,
"GI Nut 1.5""",OTH-GI-NUT-1.5IN,Others,GTI Accessory,product,Galvanized Iron nut 1.5 inch,2.119,,2.54,15,18,73181600,,8,100,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""1.5 inch"",""material"":""GI""}",
Washer,OTH-WSHR,Others,GTI Accessory,product,Standard washer,1.017,,1.86,15,18,73182200,,8,100,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,,
MC4 Solar Connectors (Male & Female),OTH-MC4-CON-MF,Others,GTI Accessory,product,MC4 solar DC connector pair (male and female),8.57,,28.57,15,5,85369090,,8,20,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""type"":""MC4"",""set"":""M&F""}",
5-30 HPL Meter Without Box 1-Phase,OTH-MTR-5-30HPL-1PH,Others,GTI Accessory,product,"HPL energy meter 5-30A rating without enclosure, 1Phase",305.08,,347.46,15,18,90283010,,8,5,Nos,,1 year,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""rating"":""5-30A""}",
5-30 HPL Meter Without Box 3-Phase,OTH-MTR-5-30HPL-3PH,Others,GTI Accessory,product,HPL energy meter 5-30A rating without enclosure 3Phase,1186.44,,"1,355.93",15,18,90283010,,8,5,Nos,,1 year,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""rating"":""5-30A""}",
Cable Tray 45x45,OTH-CT-45X45,Others,GTI Accessory,product,Cable tray 45mm x 45mm,72.03,,97.46,15,18,73269099,,8,10,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""45x45mm""}",
Welkm Pipe 25MM,WLK-PIPE-25MM,Welkm,GTI Accessory,product,Welkm 25mm conduit pipe,34.75,,38.14,15,18,39172390,,8,20,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""25MM""}",
Welkm Band,WLK-BND,Welkm,GTI Accessory,product,Welkm pipe band/clamp,4.24,,8.47,15,18,73269099,,8,30,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,,
Richa Tee 1 Inch Ivory,RCH-TEE-1IN-IV,Richa,GTI Accessory,product,Richa Tee fitting 1 inch ivory color,4.66,,5.08,15,18,39174000,,8,30,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""1 inch"",""color"":""Ivory""}",
PVC Flexible Pipe 25MM 15m Roll,OTH-PVC-FPIPE-25MM-15M,Others,GTI Accessory,product,PVC flexible pipe 25mm in 15 metre roll,152.24,,186.44,15,18,39172390,,8,5,ROLE,15m,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""25MM"",""length"":""15m""}",
25MM Pin Saddle,OTH-PIN-SDL-25MM,Others,GTI Accessory,product,25mm pin saddle for pipe mounting,0.76,,1.02,15,18,73269099,,8,50,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""25MM""}",
Cable Tie 250MM,OTH-CT-250MM,Others,GTI Accessory,product,Nylon cable tie 250mm,0.75,,0.85,15,18,39269099,,8,100,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""length"":""250MM""}",
Mono Rail 300M,OTH-MNR-RAIL-300M,Others,GTI Accessory,product,Mounting structure mono rail per metre,94.92,,101.69,15,18,73089090,,8,20,MTR,,,active,PL-2026-Q2,,,,,Assam,on_grid,,,
16MM Aluminium Flat Lugs,OTH-LUG-ALU-16MM,Others,GTI Accessory,product,16mm aluminium flat lugs,4.24,,6.78,15,18,85369090,,8,50,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""16MM"",""material"":""Aluminium""}",
6MM Pin Lugs,"OTH-LUG-PIN-6MM	",Others,GTI Accessory,product,6mm pin lugs,4.24,,4.24,15,18,85369090,,8,50,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""6MM""}",
GW Black Tab,GW-BLK-TAB,GW,GTI Accessory,product,GW black insulation tape,7.37,,8.47,15,18,39199090,,8,30,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,,
Wooden Screw (25)+ Gutka Set (25),OTH-WD-SCR-GTK,Others,GTI Accessory,product,Wooden screw (25piece) with gutka (25 piece),6.41,,10.17,15,18,73181500,,8,50,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,,
SD Screw,OTH-SD-SCR,Others,GTI Accessory,product,Self-drilling screw,1.34,,2.54,15,18,73181400,,8,100,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,,
L & Key Nut,OTH-LKEY-NUT,Others,GTI Accessory,product,"Allen key nut for mounting structure, 14 piece",5.93,,6.78,15,18,73181600,,8,50,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,,
L & Key Bolt,OTH-LKEY-BLT,Others,GTI Accessory,product,Allen key bolt for mounting structure 14 piece,5.08,,6.36,15,18,73181500,,8,50,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,,
Mid Clamp (U),OTH-MID-CLP-U,Others,GTI Accessory,product,U-shaped mid clamp for solar panel mounting,10.93,,14.41,15,18,76169990,,8,30,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""type"":""Mid"",""shape"":""U""}",
End Clamp (Z),OTH-END-CLP-Z,Others,GTI Accessory,product,Z-shaped end clamp for solar panel mounting,10,,13.56,15,18,76169990,,8,30,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""type"":""End"",""shape"":""Z""}",
4MM DC Solar Cable,OTH-CBL-DC-4MM,Others,GTI Accessory,product,4mm DC solar cable per metre,32.96,,36.44,15,18,85444900,,8,100,MTR,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""4MM"",""type"":""DC""}",
4MM AC Copper Cable,OTH-CBL-AC-4MM-CU,Others,GTI Accessory,product,4mm AC copper cable per metre,47.36,,48.31,15,18,85447090,,8,100,MTR,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""4MM"",""type"":""AC"",""material"":""Copper""}",
Earthing Electrode GI,OTH-ERTH-ELEC-GI,Others,GTI Accessory,product,GI Earthing Electrode,135,,161.02,15,18,85359000,,8,5,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""type"":""GI Earthing Electrode""}",
Pit Cover,ITFI-P-C,Others,GTI Accessory,product,Earthing pit cover,60.17,,76.27,15,18,39259090,,8,5,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""type"":""Pit Cover""}",
Lightning Arrestor C/B,ITFI-L-A-C/B,Others,GTI Accessory,product,Lightning Arrestor with Circuit Breaker,224.58,,253.39,15,18,85363000,,8,5,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""type"":""Lightning Arrestor C/B""}",
Earthing Chemical 15KG,ITFI-E-C-15KG,Others,GTI Accessory,product,Earthing chemical compound 15KG bag,173.33,,176.19,15,5,38249090,,8,5,Bags,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""weight"":""15KG"",""type"":""Earthing Chemical""}",
16MM Aluminium VIR Wire,OTH-WIR-ALU-16MM,Others,GTI Accessory,product,16MM Aluminium VIR wire per metre,15.25,,16.95,15,18,85444900,,8,100,MTR,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""16MM"",""type"":""Aluminium VIR Wire""}",
