# Valid categories: Solar PCU - Sine Wave | Solar PCU - MPPT | Grid Tie Inverter - 1 Phase | Grid Tie Inverter - 3 Phase | Hybrid Inverter | Home UPS / Inverter | Solar Battery - Lead Acid | Solar Battery - Lithium | Home Battery - Lead Acid | Rack / Wall Battery | Solar Panel / PV Module | Solar Charge Controller | GTI Accessory | Inverter Accessory | Solar BOS Kit | Solar Combo / SPGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,sku,brand,category,type,description,distributorPrice,logisticsCost,unitPrice,targetMarginPct,gstRate,hsnCode,mrp,minMarginPct,minStockLevel,unit,packSize,warrantyPeriod,lifecycleStatus,priceListVersion,productFamily,modelSeries,almm,dcrCompliant,applicableRegions,gridType,customerTierPrice,specs,supplierSku
DCDB Swift 1IN 1OUT 5kW 3-Phase,SWF-DCDB-5KW-3PH,Swift,GTI Accessory,product,DC Distribution Box 1 input 1 output for 5kW 3-phase,720.34,,805.08,15,18,85371000,,8,5,Nos,,1 year,active,PL-2026-Q2,Swift DCDB,5KW-3PH,,,Assam,on_grid,,"{""capacity"":""5kW"",""phase"":""3-phase"",""inputs"":""1"",""outputs"":""1""}",
"GI Nut 1.5""",OTH-GI-NUT-1.5IN,Others,GTI Accessory,product,Galvanized Iron nut 1.5 inch,,,4.24,15,18,73181600,,8,50,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""1.5 inch"",""material"":""GI""}",
Washer,OTH-WSHR,Others,GTI Accessory,product,Standard washer,,,0.85,15,18,73182200,,8,100,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,,
MC4 Solar Connectors (Male & Female),OTH-MC4-CON-MF,Others,GTI Accessory,product,MC4 solar DC connector pair (male and female),8.57,,28.57,15,5,85369090,,8,20,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""type"":""MC4"",""set"":""M&F""}",
5-30 HPL Meter Without Box,OTH-MTR-5-30HPL,Others,GTI Accessory,product,HPL energy meter 5-30A rating without enclosure,305.08,,347.46,15,18,90283010,,8,5,Nos,,1 year,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""rating"":""5-30A""}",
Cable Tray 45x45,OTH-CT-45X45,Others,GTI Accessory,product,Cable tray 45mm x 45mm,72.03,,97.46,15,18,73269099,,8,10,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""45x45mm""}",
Welkm Pipe 25MM,WLK-PIPE-25MM,Welkm,GTI Accessory,product,Welkm 25mm conduit pipe,34.75,,38.14,15,18,39172390,,8,20,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""25MM""}",
Welkm Band,WLK-BND,Welkm,GTI Accessory,product,Welkm pipe band/clamp,4.24,,8.47,15,18,73269099,,8,30,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,,
Richa Tee 1 Inch Ivory,RCH-TEE-1IN-IV,Richa,GTI Accessory,product,Richa Tee fitting 1 inch ivory color,4.66,,5.08,15,18,39174000,,8,30,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""1 inch"",""color"":""Ivory""}",
PVC Flexible Pipe 25MM 15m Roll,OTH-PVC-FPIPE-25MM-15M,Others,GTI Accessory,product,PVC flexible pipe 25mm in 15 metre roll,152.24,,186.44,15,18,39172390,,8,5,ROLE,15m,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""25MM"",""length"":""15m""}",
25MM Pin Saddle,OTH-PIN-SDL-25MM,Others,GTI Accessory,product,25mm pin saddle for pipe mounting,0.76,,1.02,15,18,73269099,,8,50,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""25MM""}",
Cable Tie 250MM,OTH-CT-250MM,Others,GTI Accessory,product,Nylon cable tie 250mm,0.75,,0.85,15,18,39269099,,8,100,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""length"":""250MM""}",
Mono Rail 300M,OTH-MNR-RAIL-300M,Others,GTI Accessory,product,Mounting structure mono rail per metre,94.92,,101.69,15,18,73089090,,8,20,MTR,,,active,PL-2026-Q2,,,,,Assam,on_grid,,,
16MM Aluminium Flat Lugs,OTH-LUG-ALU-16MM,Others,GTI Accessory,product,16mm aluminium flat lugs,4.24,,6.78,15,18,85369090,,8,50,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""16MM"",""material"":""Aluminium""}",
6MM Pin Lugs,OTH-LUG-PIN-6MM,Others,GTI Accessory,product,6mm pin lugs,4.24,,4.24,15,18,85369090,,8,50,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""6MM""}",
GW Black Tab,GW-BLK-TAB,GW,GTI Accessory,product,GW black insulation tape,7.37,,8.47,15,18,39199090,,8,30,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,,
Wooden Screw + Gutka Set,OTH-WD-SCR-GTK,Others,GTI Accessory,product,Wooden screw with gutka per piece,6.41,,10.17,15,18,73181500,,8,50,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,,
SD Screw,OTH-SD-SCR,Others,GTI Accessory,product,Self-drilling screw,1.34,,2.54,15,18,73181400,,8,100,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,,
L & Key Nut,OTH-LKEY-NUT,Others,GTI Accessory,product,Allen key nut for mounting structure,5.93,,6.78,15,18,73181600,,8,50,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,,
L & Key Bolt,OTH-LKEY-BLT,Others,GTI Accessory,product,Allen key bolt for mounting structure,5.08,,6.36,15,18,73181500,,8,50,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,,
Mid Clamp (U),OTH-MID-CLP-U,Others,GTI Accessory,product,U-shaped mid clamp for solar panel mounting,10.93,,14.41,15,18,76169990,,8,30,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""type"":""Mid"",""shape"":""U""}",
End Clamp (Z),OTH-END-CLP-Z,Others,GTI Accessory,product,Z-shaped end clamp for solar panel mounting,10.0,,13.56,15,18,76169990,,8,30,Nos,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""type"":""End"",""shape"":""Z""}",
4MM DC Solar Cable,OTH-CBL-DC-4MM,Others,GTI Accessory,product,4mm DC solar cable per metre,32.96,,36.44,15,18,85444900,,8,100,MTR,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""4MM"",""type"":""DC""}",
4MM AC Copper Cable,OTH-CBL-AC-4MM-CU,Others,GTI Accessory,product,4mm AC copper cable per metre,47.36,,48.31,15,18,85447090,,8,100,MTR,,,active,PL-2026-Q2,,,,,Assam,on_grid,,"{""size"":""4MM"",""type"":""AC"",""material"":""Copper""}",
